name,model,url
SoundWear Companion speaker,789470,https://www.bose.com/en_us/support/products/bose_wearables_support/soundwear-companion.html
Bose Frames Alto,829195,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-alto.html
Bose Frames Rondo,829194,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-rondo.html
Bose Frames Soprano,856771,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-soprano.html
Bose Frames Tempo: ,856768,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-tempo.html
Bose Frames Tenor: ,856771,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-tenor.html
SoundTouch 300 soundbar: ,788924,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-soundtouch-300-soundbar.html
Solo TV SoundSystem: ,410376,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/solo_tv_sound_system.html
Solo 10 Series 2 TV Sound System,754063,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/solo_10_series_ii.html#v=solo_10_series_ii_black
Solo 10 TV Sound System,717643,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/solo_10.html#v=solo_10_black
Solo 15 Series 2 TV Sound System,754063,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-solo-15-tv-sound-system.html
Solo 15 TV Sound System,717643,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/solo_15.html#v=solo_15_black
CineMate 120 home theater system,715107,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/cinemate-120-home-theater-system.html#v=cinemate_120_black
CineMate 10 home theater system,715326,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/cinemate_10.html#v=cinemate_10_black
Lifestyle 135 System 2,372639,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/lifestyle_135_series_ii.html
Lifestyle 135 Home Entertainment System,348139,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/ls135.html
Lifestyle SoundTouch 135 entertainment System,753272,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/lifestyle-soundtouch-135-entertainment-system.html#v=ls_soundtouch_135_black
VCS-10 center speaker,257528,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/vcs10.html#v=vcs10_black
VCS-30 Series 2 Center/Surround Speaker System,257528,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/vcs30_series2.html
VCS-30 Series 1 Center/Surround Speaker System,027029,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/vcs30_series2.html
V-300 Home Theater Speaker,184207,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/v300.html#v=v300_black
V-100 Video Speaker,184207,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/v100.html#v=v100_black
VS-100 Video Speaker System,147195,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/vs100.html#v=vs100_black
SoundTouch Soundbar System,796256,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/soundtouch-soundbar-system.html#v=soundtouch_300_special_black
CineMate 15 Home Theater Speaker System,715326,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/cinemate-15-home-theater-speaker-system.html#v=cinemate_15_black
Lifestyle 135 Series 3 Home Entertainment System,740968,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/ls135_iii.html
CineMate 130 Home Theater System,735964,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/cinemate-130-home-theater-system.html#v=cinemate_130_black
SoundTouch 120 Home Theater System,740967,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/soundtouch-120-home-theater-system.html#v=soundtouch_120_black
SoundTouch 130 Home Theater System,759890,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/soundtouch-130-home-theater-system.html
CineMate 1 SR home Theater Speaker System,342773,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/cinemate_1sr.html#v=Cinemate_1_Sr_Blk_Ap
Solo 5 TV Sound System,798493,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-solo-5-tv-sound-system.html#v=solo_5_black
Soundbar 500,810604,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-soundbar-500.html#v=bose_soundbar_500_black
Smart Soundbar 700,810651,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-soundbar-700.html#v=bose_soundbar_700_black
Soundbar System Bundle,829292,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-soundbar-500-system-pkg.html#v=bose_soundbar_500_system_pkg_black
Videobar VB1,868554,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-videobar-vb1.html#v=bose_videobar_vb1_black
TV Speaker,852004,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-tv-speaker.html#v=bose_tv_speaker_black
Smart Soundbar 300,858459,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-smart-soundbar-300.html#v=bose_smart_soundbar_300_black
Solo Soundbar,850858,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-solo-soundbar-ii.html#v=bose_solo_soundbar_ii_black
Smart Soundbar System,858459,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_soundbar_and_1_speaker_home_theater_support/bose-smart-soundbar-system.html#v=bose_smart_soundbar_system_black
CineMate GS Series 2 Digital Home Theater Speaker System,323023,https://www.bose.com/en_us/support/products/bose_home_theater_support/bose_2_speaker_home_theater_support/cinemate_gs_series2.html
